instr,entry,dir,horizon,mae_sigma,win,ret,z_entry,bars_held
AUDNZD,2023-09-26 08:00:00+00:00,1,8,2.205793992059905,False,-0.00815311950208257,2.0128836578085036,71
AUDNZD,2024-02-08 12:00:00+00:00,1,1,0.7247494106385459,True,0.0030355467788934967,2.067705959829458,16
AUDNZD,2024-02-08 12:00:00+00:00,1,2,2.4393653264172097,True,0.0030355467788934967,2.067705959829458,16
AUDNZD,2024-02-08 12:00:00+00:00,1,4,5.9798039594607,True,0.0030355467788934967,2.067705959829458,16
AUDNZD,2024-02-08 12:00:00+00:00,1,8,6.973801203564617,True,0.0030355467788934967,2.067705959829458,16
AUDNZD,2024-02-21 08:00:00+00:00,1,1,0.20258862270716607,True,0.002086653018958096,2.1729587718257273,17
AUDNZD,2024-02-21 08:00:00+00:00,1,2,0.20258862270716607,True,0.002086653018958096,2.1729587718257273,17
AUDNZD,2024-02-21 08:00:00+00:00,1,4,1.9010486348204498,True,0.002086653018958096,2.1729587718257273,17
AUDNZD,2024-02-21 08:00:00+00:00,1,8,3.7158251618651446,True,0.002086653018958096,2.1729587718257273,17
AUDNZD,2024-03-20 12:00:00+00:00,-1,1,0.910967117016242,False,-0.010292103447754814,2.1970980349791227,89
AUDNZD,2024-03-20 12:00:00+00:00,-1,2,4.1945510469095195,False,-0.010292103447754814,2.1970980349791227,89
AUDNZD,2024-03-20 12:00:00+00:00,-1,4,6.965653559644884,False,-0.010292103447754814,2.1970980349791227,89
AUDNZD,2024-03-20 12:00:00+00:00,-1,8,7.100278637412077,False,-0.010292103447754814,2.1970980349791227,89
AUDNZD,2024-06-03 16:00:00+00:00,1,1,3.1238813635283047,False,-0.0025847073217074223,2.127637346518467,23
AUDNZD,2024-06-03 16:00:00+00:00,1,2,3.1238813635283047,False,-0.0025847073217074223,2.127637346518467,23
AUDNZD,2024-06-03 16:00:00+00:00,1,4,4.876675032296133,False,-0.0025847073217074223,2.127637346518467,23
AUDNZD,2024-06-03 16:00:00+00:00,1,8,6.798075102041354,False,-0.0025847073217074223,2.127637346518467,23
AUDNZD,2024-08-29 00:00:00+00:00,1,1,0.39623400848260837,True,0.006510035492402661,2.4684403391844767,14
AUDNZD,2024-08-29 00:00:00+00:00,1,2,0.39623400848260837,True,0.006510035492402661,2.4684403391844767,14
AUDNZD,2024-08-29 00:00:00+00:00,1,4,0.39623400848260837,True,0.006510035492402661,2.4684403391844767,14
AUDNZD,2024-08-29 00:00:00+00:00,1,8,0.39623400848260837,True,0.006510035492402661,2.4684403391844767,14
AUDNZD,2024-09-06 12:00:00+00:00,1,1,0.18852988870872972,True,0.0028873568828221992,2.043803278127897,5
